Diner Id,Restaurant Name,Restaurant Id,Visit Time,Covers,Review Score
655872,The Anchor Line Bar and Grill,6214,2016-10-28 18:30:00,10,NULL
655872,The Anchor Line Bar and Grill,6214,2016-10-28 19:15:00,9,NULL
663294,Lebowskis West End,7497,2016-10-03 13:00:00,2,NULL
663294,Maggie Mays,8710,2016-10-01 20:15:00,5,NULL
665177,Amarone Glasgow,3384,2016-10-29 17:15:00,2,NULL
665177,The Spiritualist,8037,2016-10-29 16:45:00,2,4.4
668933,Celino's Italian Delicatessen Trattoria,4465,2016-10-28 13:30:00,2,NULL
668933,Celino's Italian Delicatessen Trattoria,4465,2016-10-01 14:00:00,4,5
668933,Celino's Italian Delicatessen Trattoria,4465,2016-10-21 17:30:00,2,5
669713,Amore D'Italia Dennistoun,6343,2016-10-21 19:15:00,2,NULL
669713,Obu Pan Asian,6376,2016-10-27 17:15:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-02 20:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-03 19:30:00,5,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-12 17:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-15 18:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-15 19:15:00,9,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-15 20:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-22 18:30:00,8,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-22 19:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-23 18:15:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-24 19:15:00,6,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-28 14:30:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-28 20:15:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-31 17:45:00,2,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-07 18:30:00,3,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-28 18:45:00,2,NULL
684047,Mottram Hall - Carrington Grill,7463,2016-10-25 20:00:00,2,NULL
684047,Ashford Internation Hotel -Horizons Restaurant,8296,2016-10-18 13:00:00,2,NULL
684047,Forest Pines - Eighteen57,5172,2016-10-30 19:30:00,4,NULL
684047,Lane7,5322,2016-10-09 21:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-09 18:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-10 19:15:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-16 18:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-18 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-18 21:15:00,1,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-21 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-22 18:30:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-24 20:00:00,3,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-27 19:45:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-31 19:15:00,3,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-22 20:45:00,2,NULL
684047,Mottram Hall - Carrington Grill,7463,2016-10-20 19:15:00,2,NULL
684047,Dunston Hall - Brasserie Bar and Grill,7553,2016-10-19 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-01 13:15:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-01 19:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-03 19:45:00,1,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-07 20:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-12 17:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-14 20:00:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-15 19:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-16 20:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-22 20:15:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-23 19:00:00,6,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-25 20:00:00,3,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-27 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-30 18:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-30 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-31 19:15:00,4,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-08 19:45:00,2,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-14 19:45:00,2,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-14 21:00:00,3,NULL
684047,Mottram Hall - Carrington Grill,7463,2016-10-15 19:30:00,5,NULL
684047,Lane7,5322,2016-10-16 19:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-03 18:45:00,3,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-03 19:15:00,1,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-10 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-15 19:15:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-16 17:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-23 17:00:00,3,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-24 19:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-25 19:45:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-26 19:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-27 18:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-28 12:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-29 13:30:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-29 13:45:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-29 19:15:00,4,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-30 20:00:00,2,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-31 18:00:00,1,NULL
684047,The Westerwood - Grill Restaurant,5748,2016-10-31 19:00:00,2,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-14 19:00:00,2,NULL
684047,The Westerwood - Flemings Restaurant,5749,2016-10-14 19:15:00,2,NULL
